ID,Density_first_sen_sum,Coverage_first_sen_sum,Density_first_sen_title_sum,Coverage_first_sen_title_sum,Comp,Comp_title
5884,0.259259259,0.259259259,0.314285714,0.257142857,0.732142857,0.669642857
5885,4.8,0.6,3.945945946,0.513513514,0,-0.444444444
5886,0.055555556,0.055555556,-1,0.153846154,0.77027027,0.689189189
5887,6.294117647,0.470588235,4.695652174,0.391304348,0.659340659,0.593406593
5888,0.166666667,0.166666667,0.138888889,0.166666667,0.671875,0.546875
5889,0.2,0.15,0.285714286,0.142857143,0.821428571,0.741071429
5890,0.3,0.2,0.275862069,0.172413793,0.736111111,0.638888889
5891,0.157894737,0.157894737,0.153846154,0.192307692,0.839378238,0.803108808
5892,0.290322581,0.322580645,0.289473684,0.315789474,0.471698113,0.339622642
5893,0.071428571,0.107142857,0.085714286,0.142857143,0.647058824,0.544117647
5894,1.75,0.333333333,1.580645161,0.322580645,0.737373737,0.656565657
5895,4.115384615,0.346153846,3.205882353,0.323529412,0.834710744,0.768595041
5896,1.05,0.2,0.857142857,0.285714286,0.757009346,0.682242991
5897,0.384615385,0.346153846,1.529411765,0.441176471,0.805309735,0.734513274
5898,15.27272727,0.5,16.93333333,0.533333333,0.673267327,0.594059406
5899,0.454545455,0.393939394,0.390243902,0.341463415,0.820224719,0.719101124
5900,2.9375,0.3125,2.2,0.44,0.726415094,0.650943396
5901,0.275862069,0.24137931,0.405405405,0.324324324,0.840336134,0.781512605
5902,0.157894737,0.052631579,0.307692308,0.153846154,0.865882353,0.854117647
5903,0.017699115,0,0.049180328,0.016393443,0.708333333,0.660714286
5904,0.979166667,0.375,0.839285714,0.357142857,0.551724138,0.310344828
5905,0,0,0.1,0.05,0.80733945,0.782874618
5906,1.048387097,0.306451613,1.228571429,0.314285714,0.673469388,0.591836735
5907,0.483870968,0.290322581,0.487179487,0.333333333,0.852941176,0.794117647
5908,0.3,0.15,0.321428571,0.214285714,0.674418605,0.620155039
5909,1.12195122,0.414634146,0.979166667,0.395833333,0.896341463,0.853658537
5910,1.529411765,0.529411765,4.5,0.666666667,0.786885246,0.721311475
5911,0.423076923,0.269230769,0.470588235,0.264705882,0.776119403,0.71641791
5912,0.533333333,0.266666667,0.447368421,0.289473684,0.75,-0.125
5913,0,0,-1,0,0.815642458,0.765363128
